id,baslik,alt_baslik,oda_tipi,gecelik_fiyat_tl,fiyat_1_gun_tl,fiyat_1_hafta_tl,fiyat_1_ay_tl,fiyat_3_ay_tl,puan,yorum_sayisi,enlem,boylam,url,resim_url
1467199247727446744,Daire - Defne,Antakya otogarına 4 km yakın,Daire,2605,2605,,,2605,4.33,12,36.19663854640965,36.11945523384655,https://www.airbnb.com.tr/rooms/1467199247727446744,https://a0.muscache.com/im/pictures/2257267373.jpg
1639696909792487403,Ev - Antakya,Serinyol Kampüs/8. Tugay/Havalimanı Mevki Kiralık,Daire / Ev,2132,2132,,,2132,4.4,10,36.3302,36.1995,https://www.airbnb.com.tr/rooms/1639696909792487403,https://a0.muscache.com/im/pictures/2548031614.jpg
1768023562989380723,Otel - Antakya,Le Reve Bohem Standart Oda,Özel Oda,5614,5628,,,5600,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1768023562989380723,https://a0.muscache.com/im/pictures/2805253120.jpg
1515356826190248347,Daire - Defne,Defne çekmece mahhalesinde daire,Daire,4382,4382,,,4382,,0,36.19789238142914,36.11956406691178,https://www.airbnb.com.tr/rooms/1515356826190248347,https://a0.muscache.com/im/pictures/2344084655.jpg
1768029589229753482,Otel - Antakya,Le Reve Bohem Tek Kişilik Oda,Özel Oda,5012,5025,,,5000,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1768029589229753482,https://a0.muscache.com/im/pictures/2805265385.jpg
1658151950093534247,Daire - Zülüflühan,Hatay Fuar Alanı/MKÜ Kampüs/Havalimanı Mevkii,Daire,2339,2724,,,1954,,0,36.32967112250007,36.228202458468154,https://www.airbnb.com.tr/rooms/1658151950093534247,https://a0.muscache.com/im/pictures/2581417930.jpg
1528366629571487776,Antakya bölgesinde oda,defne antakya arası merkezi konumda,Özel Oda,2724,2724,,,2724,4.4,5,36.1964,36.1359,https://www.airbnb.com.tr/rooms/1528366629571487776,https://a0.muscache.com/im/pictures/2365093942.jpg
1562819726402769554,Daire - Antakya,Antakya defne arası merkezi konumda,Daire,4145,4145,,,4145,4.0,7,36.196920309674354,36.121383948395994,https://www.airbnb.com.tr/rooms/1562819726402769554,https://a0.muscache.com/im/pictures/2419997012.jpg
1524568780418468153,Antakya bölgesinde oda,M.K.Ü Serinyol Kampüs/Hatay Fuar Alanı Günlük Kira,Özel Oda,2901,2901,,,2901,4.89,9,36.3310442987635,36.20061112768738,https://www.airbnb.com.tr/rooms/1524568780418468153,https://a0.muscache.com/im/pictures/2524025975.jpg
1768025703280117109,Otel - Antakya,Le Reve Bohem Standart Oda 2,Özel Oda,5814,5829,,,5800,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1768025703280117109,https://a0.muscache.com/im/pictures/2805259503.jpg
1768032034235733369,Otel - Antakya,Le Reve Bohem Standart Oda 3,Özel Oda,5814,5829,,,5800,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1768032034235733369,https://a0.muscache.com/im/pictures/2805271848.jpg
1767983949633628353,Otel - Antakya,Reve Bohem King Room ile,Daire / Ev,5614,5628,,,5600,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767983949633628353,https://a0.muscache.com/im/pictures/2805185482.jpg
1767989153940943705,Otel - Antakya,Reve Bohem King Room 2 ile,Daire / Ev,5814,5829,,,5800,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767989153940943705,https://a0.muscache.com/im/pictures/2805193772.jpg
1734042851491289255,Antakya bölgesinde oda,Le Reve Bohem Aile Odası,Özel Oda,6200,6200,,,6200,,0,36.198,36.1644,https://www.airbnb.com.tr/rooms/1734042851491289255,https://a0.muscache.com/im/pictures/2734784137.jpg
1767987261213425428,Otel - Antakya,Le Reve Bohem İki Yataklı Oda,Özel Oda,5614,5628,,,5600,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767987261213425428,https://a0.muscache.com/im/pictures/2805189954.jpg
1767922951979685166,Otel - Antakya,Le Reve Butik Otel Standart Oda,Özel Oda,4824,4824,,,,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767922951979685166,https://a0.muscache.com/im/pictures/2805074205.jpg
1767911607487224341,Otel - Antakya,Le Reve Butik Otel Deluxe Oda,Özel Oda,5025,5025,,,,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767911607487224341,https://a0.muscache.com/im/pictures/2805057155.jpg
1767926442403896419,Otel - Antakya,Le Reve Butik Otel Standart Oda,Özel Oda,4824,4824,,,,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767926442403896419,https://a0.muscache.com/im/pictures/2805078292.jpg
1757149050458503068,Otel - Antakya,Beyt Antakya,Daire / Ev,3929,,,,3929,,0,36.1985,36.1637,https://www.airbnb.com.tr/rooms/1757149050458503068,https://a0.muscache.com/im/pictures/2784041918.jpg
1752932811661748072,Otel - Zülüflühan,Antakya Kampüs Mkü Serinyol Kiralık ,Daire / Ev,3500,,,,3500,,0,36.3415,36.209,https://www.airbnb.com.tr/rooms/1752932811661748072,https://a0.muscache.com/im/pictures/2775495864.jpg
1767921494196302771,Otel - Antakya,Le Reve Butik Otel Twin Oda,Özel Oda,4999,,,,4999,,0,36.1981,36.1643,https://www.airbnb.com.tr/rooms/1767921494196302771,https://a0.muscache.com/im/pictures/2805071414.jpg
37500173,Tumwater bölgesinde oda,Sessiz Bir Semtte Temiz ve Basit Oda,Özel Oda,2725,,,2725,,4.99,145,47.01425,-122.88813,https://www.airbnb.com.tr/rooms/37500173,https://a0.muscache.com/im/pictures/837197138.jpg
1420684623098468649,Sıra ev - Tumwater,Rahat Tumwater Evi | Olympia'ya yakın,Daire / Ev,13488,,,14132,12844,,0,46.98602144092696,-122.94275205823725,https://www.airbnb.com.tr/rooms/1420684623098468649,https://a0.muscache.com/im/pictures/2799828400.jpg
15236213,Misafir evi - Olympia,Charlotte's Annex: Şehir yakınında konforlu özel stüdyo,Daire / Ev,4524,,,4865,4184,4.89,717,46.98376,-122.88949,https://www.airbnb.com.tr/rooms/15236213,https://a0.muscache.com/im/pictures/215048625.jpg
53773710,Olympia bölgesinde oda,"Sessiz, Banliyö Olympia Evi",Özel Oda,2554,,,3016,2092,4.95,94,47.024290778196736,-122.85896590874778,https://www.airbnb.com.tr/rooms/53773710,https://a0.muscache.com/im/pictures/2085278110.jpg
47758356,Daire - Olympia,King Bd Apt in 1923 Bungalow w/Private Garden.,Daire,8003,,,8003,,5.0,97,47.03267,-122.89906,https://www.airbnb.com.tr/rooms/47758356,https://a0.muscache.com/im/pictures/1401962571.jpg
1760230571173662167,Ev - Olympia,Capitol Kampüsü'ne yürüyün! 'Stellar & Bloom Olympia',Daire / Ev,19416,,,18471,20361,,0,47.0318,-122.9012,https://www.airbnb.com.tr/rooms/1760230571173662167,https://a0.muscache.com/im/pictures/2789968637.jpg
28362174,Lacey bölgesinde oda,Şehir merkezine ve hastaneye kolay erişimi olan özel oda,Özel Oda,2506,,,2652,2360,4.94,293,47.02656,-122.81493,https://www.airbnb.com.tr/rooms/28362174,https://a0.muscache.com/im/pictures/1164237554.jpg
1734226965012791975,Lacey bölgesinde oda,Sessiz ve temiz mekânım,Özel Oda,2743,,,2810,2676,4.77,13,47.0371,-122.7995,https://www.airbnb.com.tr/rooms/1734226965012791975,https://a0.muscache.com/im/pictures/2737515488.jpg
50748845,Küçük ev - Olympia,Tarihi matbaada rahat stüdyo.,Daire / Ev,6300,,,6300,,4.99,246,47.04428,-122.91401,https://www.airbnb.com.tr/rooms/50748845,https://a0.muscache.com/im/pictures/1242266808.jpg
1278295081094970357,Ev - Olympia,"Güzelce yenilenmiş, şehir merkezindeki Capitol'den 5 dakika uzaklıkta.",Daire / Ev,13915,,,13915,,4.99,88,47.04894825550239,-122.92653580667924,https://www.airbnb.com.tr/rooms/1278295081094970357,https://a0.muscache.com/im/pictures/2020311882.jpg
27658975,Lacey bölgesinde oda,Hastaneye ve Olympia şehir merkezine yakın özel oda,Özel Oda,2652,,,2652,,4.94,202,47.02504,-122.8143,https://www.airbnb.com.tr/rooms/27658975,https://a0.muscache.com/im/pictures/1164237856.jpg
28390892,Lacey bölgesinde oda,Şehir merkezine ve hastaneye birkaç dakika mesafede özel oda,Özel Oda,2554,,,2554,,4.92,236,47.0265,-122.81592,https://www.airbnb.com.tr/rooms/28390892,https://a0.muscache.com/im/pictures/1164236912.jpg
3819546,Olympia bölgesinde oda,"Rahat, gösterişli bir kulübede oda",Özel Oda,2943,,,2943,,4.9,520,47.06284,-122.88439,https://www.airbnb.com.tr/rooms/3819546,https://a0.muscache.com/im/pictures/1218759252.jpg
