id,ad,tur,kategori,enlem,boylam,rakim_m,il_plaka
325164,Ağrı Dağı,Dağ,DAG_VE_TEPE,39.70224,44.298,5100,04
320316,Great Ararat,Zirve / Doruk,DAG_VE_TEPE,39.70167,44.30056,5069,88
6672231,Kūh-e Ārārāt-e Bozorg,Dağ,DAG_VE_TEPE,39.7124,44.314,4056,88
744945,Kaçkar Dağı,Dağ,DAG_VE_TEPE,40.8355,41.1613,3888,08
10249083,Doğu Karadeniz Dağları,Sıradağlar,DAG_VE_TEPE,40.83434,41.16293,3864,08
306012,Küçük Ağrı,Zirve / Doruk,DAG_VE_TEPE,39.64875,44.41208,3861,04
315528,Erciyes Dağı,Dağ,DAG_VE_TEPE,38.53366,35.45065,3771,38
300105,Süphan Dağı,Dağ,DAG_VE_TEPE,38.91667,42.81667,3714,13
304206,Mor Dağı,Dağ,DAG_VE_TEPE,37.75417,44.31889,3666,70
306548,Kopgel,Zirve / Doruk,DAG_VE_TEPE,39.73333,44.3,3653,88
12422462,Kok Tepesi,Dağ,DAG_VE_TEPE,37.73339,44.31105,3652,70
6611103,Mıhtepe,Dağ,DAG_VE_TEPE,39.67553,44.3224,3647,04
9806558,Arsan Dağı,Dağ,DAG_VE_TEPE,37.49622,43.85273,3636,70
320075,Buzul Dağı,Dağ,DAG_VE_TEPE,37.51028,43.97963,3629,70
9807306,Kavuşşahap Dağları,Sıradağlar,DAG_VE_TEPE,38.06012,42.95327,3616,74
321959,Başet Tepesi,Tepe,DAG_VE_TEPE,38.20492,43.64453,3603,65
9806556,Gök Dağ,Dağ,DAG_VE_TEPE,37.78377,43.83785,3573,65
9806548,Hakkari Dağları,Sıradağlar,DAG_VE_TEPE,37.5,44.0,3567,70
9815358,Gök Dağ,Dağ,DAG_VE_TEPE,38.22845,44.05774,3540,65
311860,Hüdavendigar Dağı,Dağ,DAG_VE_TEPE,39.34275,43.44587,3507,04
323495,Aruh Dağı,Dağ,DAG_VE_TEPE,37.93916,43.14026,3504,65
304701,Medetsiz Tepe,Dağ,DAG_VE_TEPE,37.3931,34.63065,3488,32
738971,Tatos Dağları,Sıradağlar,DAG_VE_TEPE,40.73333,41.0,3486,00
12457601,Eyvantaşı Dağı,Dağ,DAG_VE_TEPE,37.97575,43.86996,3483,65
12457700,Küçükkale Dağı,Dağ,DAG_VE_TEPE,37.815,43.86847,3480,65
10015254,Dağınık Dağ,Dağ,DAG_VE_TEPE,39.80098,39.72567,3476,24
12432095,Kuzu Dağı,Dağ,DAG_VE_TEPE,37.58618,43.95219,3474,70
10006975,Ala Dağ,Dağ,DAG_VE_TEPE,39.40681,43.34383,3470,04
315337,Esence Dağları,Sıradağlar,DAG_VE_TEPE,39.79126,39.77151,3464,24
10249145,Rize Dağları,Sıradağlar,DAG_VE_TEPE,40.81518,41.37711,3454,08
325020,Akbaba Tepesi,Tepe,DAG_VE_TEPE,39.53653,39.54067,3432,24
10140732,Beyaz Tepe,Tepe,DAG_VE_TEPE,38.16761,43.31133,3427,65
321938,Başkale Dağı,Dağ,DAG_VE_TEPE,38.07579,43.94617,3418,65
12362311,Büyükgelka Gölü,Göl,SU_KUTLESI,37.33568,44.32368,3417,70
438644,Boz Tepesi,Dağ,DAG_VE_TEPE,37.96758,43.14398,3413,65
9815381,Doğanlı Dağları,Sıradağlar,DAG_VE_TEPE,38.24417,44.38053,3403,65
322768,Aydos Dağı,Dağ,DAG_VE_TEPE,37.34694,34.36028,3390,71
298428,Uludoruk Tepe,Tepe,DAG_VE_TEPE,37.48469,44.06378,3373,70
12474754,Aluce Tepesi,Tepe,DAG_VE_TEPE,38.18753,42.92136,3371,65
321330,Beşparmak Dağı,Dağ,DAG_VE_TEPE,37.95497,43.81405,3366,65
6970146,Puroma Dağı,Dağ,DAG_VE_TEPE,38.0549,43.85208,3358,65
309948,Kara Dağ,Dağ,DAG_VE_TEPE,37.3426,43.80412,3352,70
315336,Esence Tepe,Dağ,DAG_VE_TEPE,39.78333,39.76667,3347,24
318896,Çelimirya Tepesi,Tepe,DAG_VE_TEPE,37.33205,44.32885,3336,70
301458,Satsivrisi Dağı,Dağ,DAG_VE_TEPE,37.31186,44.22622,3331,70
748406,Demirkapı Tepesi,Zirve / Doruk,DAG_VE_TEPE,40.51847,40.46067,3331,77
11192742,Kırkamber Tepesi,Tepe,DAG_VE_TEPE,39.24691,43.53938,3325,65
304558,Kürek Dağı,Dağ,DAG_VE_TEPE,37.57091,43.8338,3322,70
310570,Kandil Dağı,Dağ,DAG_VE_TEPE,37.63682,43.95596,3322,70
12432652,Çiçek Dağı,Dağ,DAG_VE_TEPE,37.53916,43.91564,3322,70
304636,Melik Tepesi,Dağ,DAG_VE_TEPE,38.28213,44.06889,3321,65
304577,Mercan Dağları,Sıradağlar,DAG_VE_TEPE,39.53333,39.53333,3318,00
438636,Kuş Dağı,Dağ,DAG_VE_TEPE,37.93991,43.10163,3316,65
9815325,Geriziyaret Tepesi,Tepe,DAG_VE_TEPE,38.06317,43.8105,3315,65
10006898,Büyükköse Dağı,Dağ,DAG_VE_TEPE,39.89433,42.64492,3315,04
12368564,Eşik Dağı,Dağ,DAG_VE_TEPE,37.46966,43.97786,3313,70
12369145,Olukbaşı Gölü,Göl,SU_KUTLESI,37.35024,43.8004,3310,70
10015068,Aptalmusa Tepesi,Tepe,DAG_VE_TEPE,40.39461,39.0651,3307,69
738206,Varoş Dağı,Dağ,DAG_VE_TEPE,40.81667,40.98333,3304,53
6970115,Hasun Dağı,Dağ,DAG_VE_TEPE,38.22577,42.73232,3301,65
12368560,Fak Tepesi,Dağ,DAG_VE_TEPE,37.44884,43.82634,3299,70
12362320,Meme Tepesi,Dağ,DAG_VE_TEPE,37.29473,44.30645,3297,70
316023,Düz Tepe,Tepe,DAG_VE_TEPE,37.34882,44.20817,3289,70
306841,Koçkıran Dağı,Dağ,DAG_VE_TEPE,38.09539,43.57939,3286,65
309976,Karadağ,Dağ,DAG_VE_TEPE,37.66884,43.71448,3286,70
10015069,Gümüşhane Dağları,Sıradağlar,DAG_VE_TEPE,40.396,39.0651,3286,69
746482,Gül Dağı,Dağ,DAG_VE_TEPE,41.14684,41.46551,3284,08
438664,Büyükrefikdüzü Tepesi,Sıradağlar,DAG_VE_TEPE,37.73667,43.48833,3278,80
438663,Çiyaygoçyan Tepe,Dağ,DAG_VE_TEPE,37.77639,43.44389,3277,65
308033,Keşiş Dağı,Dağ,DAG_VE_TEPE,39.8,39.76667,3276,24
299362,Küçük Tendürük Tepesi,Dağ,DAG_VE_TEPE,39.36683,43.92293,3274,04
